Date,bt_Open,bt_High,bt_Low,bt_Close,bt_Volume,bt_Market Cap,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap
10-Mar-17,1189.36,1270.47,1077.25,1116.72,563795968,18100188612,17.74,19.66,17.68,19.33,87506800,1732837145
9-Mar-17,1150.35,1197.46,1141.23,1188.49,212283008,19261188310,16.64,17.87,16.37,17.75,31418400,1590879625
8-Mar-17,1223.23,1232.16,1148.08,1150,332603008,18635275050,18.88,18.88,16.65,16.65,44304600,1491498830
7-Mar-17,1273.21,1275.55,1204.8,1223.54,291256000,19824773912,19.58,19.63,18.64,18.89,37972200,1691307055
6-Mar-17,1267.47,1276,1264.6,1272.83,153656992,20620991547,19.28,20.1,19.11,19.61,32432700,1754907794
5-Mar-17,1254.29,1267.29,1238.06,1267.12,134127000,20526235270,18.5,19.42,18.23,19.3,26816300,1727148626
4-Mar-17,1277.43,1279.4,1230.51,1255.15,183270000,20329978338,19.52,20.06,18.62,18.62,27341900,1665411583
3-Mar-17,1250.71,1280.31,1250.71,1274.99,315739008,20649259919,19.04,20.67,18.41,19.46,95863400,1739949803
2-Mar-17,1224.68,1262.13,1215.62,1251.01,368275008,20258543188,17.36,19.35,16.95,19.03,83627104,1701011948
1-Mar-17,1180.04,1222.5,1179.69,1222.5,229056992,19794459608,15.85,17.37,15.56,17.35,44927500,1550251865
28-Feb-17,1180.72,1193.25,1171.82,1179.97,184956000,19103684801,15.45,16.06,15.12,15.82,65478900,1412825288
27-Feb-17,1163.78,1181.98,1163.38,1179.97,131570000,19101427518,14.51,15.68,14.27,15.4,31667000,1374757041
26-Feb-17,1144.27,1167.47,1130.2,1165.2,116486000,18860247630,13.52,14.54,13.4,14.52,20307500,1296040794
25-Feb-17,1170.41,1174.85,1124.59,1143.84,139960992,18511906560,13.06,13.72,12.98,13.55,18533900,1208911983
24-Feb-17,1172.71,1200.39,1131.96,1173.68,330759008,18992415818,13.13,13.23,12.88,13.07,19574400,1165715765
23-Feb-17,1117.27,1176.62,1116.96,1166.72,189454000,18877442096,12.6,13.21,12.56,13.12,14522300,1169783161
22-Feb-17,1114.8,1125.39,1100.55,1117.44,136100000,18077985665,12.69,12.76,12.55,12.6,10360900,1123050433
21-Feb-17,1079.28,1117.25,1076.93,1115.3,186868992,18041455273,12.34,12.77,12.21,12.67,15183300,1128781640
20-Feb-17,1048.69,1080.49,1041.69,1079.98,109478000,17468244508,12.77,12.9,12.43,12.43,12994400,1107158285
19-Feb-17,1054.76,1056.81,1043.46,1047.87,77423296,16946913346,12.82,12.87,12.71,12.76,7799740,1136008890
18-Feb-17,1049.21,1061.1,1046.96,1054.42,99073504,17051064834,12.71,12.83,12.68,12.81,9370010,1140211197
17-Feb-17,1026.12,1053.17,1025.64,1046.21,136474000,16916338976,12.9,12.91,12.66,12.68,11636500,1127915204
16-Feb-17,1007.65,1033.37,1007.65,1027.44,122277000,16610905026,12.92,12.92,12.54,12.9,38002600,1147726668
15-Feb-17,1006.21,1008.84,1001.58,1007.48,89759400,16286329282,13.04,13.04,12.64,12.92,18464700,1148742628
14-Feb-17,991.73,1011.51,986.47,1004.55,137946000,16237219721,11.29,13.33,11.29,13.03,42911500,1157709435
13-Feb-17,998.89,1002.1,976,990.64,100607000,16010322103,11.38,11.39,11.17,11.27,7216520,1001304093
12-Feb-17,1003.52,1004.76,996.92,999.18,67530000,16146290349,11.35,11.4,11.3,11.4,6264900,1012466457
11-Feb-17,988.9,1009.29,982.83,1004.45,102261000,16229677099,11.29,11.43,11.24,11.35,7544520,1007694076
10-Feb-17,995.63,998.91,946.69,988.67,190452000,15973053725,11.05,11.34,10.78,11.28,11914200,1001069228
9-Feb-17,1064.7,1088.99,953.34,994.38,407220000,16063448932,11.44,11.6,10.67,11.03,18400300,978825690
8-Feb-17,1062.32,1078.97,1037.49,1063.07,201855008,17170799127,11.54,11.63,11.24,11.43,9688630,1013867331
7-Feb-17,1040.14,1061.93,1040.14,1061.35,146007008,17141080574,11.43,11.61,11.41,11.52,7629640,1020961130
6-Feb-17,1028.4,1044.64,1028.16,1038.15,111762000,16764422010,11.35,11.48,11.34,11.39,5695440,1009440330
5-Feb-17,1043.52,1043.63,1022.37,1027.34,114208000,16588240157,11.44,11.49,11.32,11.35,5942960,1005855021
4-Feb-17,1031.33,1045.9,1015.16,1042.9,155064000,16837411920,11.13,11.5,11.13,11.43,14139500,1012625893
3-Feb-17,1011.46,1033.87,1008.79,1029.91,201278000,16625849489,10.81,11.11,10.76,11.11,12897800,984019776
2-Feb-17,990,1013.52,983.22,1011.8,145820992,16331615570,10.74,10.89,10.55,10.82,10172500,957731836
1-Feb-17,970.94,989.11,970.74,989.02,150110000,15962015276,10.74,10.85,10.56,10.73,12852200,949491718
31-Jan-17,920.96,972.02,920.96,970.4,164582000,15659186515,10.56,10.75,10.55,10.73,11648700,948748952
30-Jan-17,920.15,923.05,919.47,920.38,78227296,14850351605,10.49,10.71,10.47,10.57,8042180,934593362
29-Jan-17,922.07,923.42,919.15,919.5,60851700,14834377926,10.56,10.57,10.45,10.48,4689950,926548657
28-Jan-17,919.81,923.91,919.81,921.59,68979600,14866260449,10.54,10.58,10.43,10.56,6580700,933378690
27-Jan-17,918.36,923.22,915.85,919.75,125594000,14834831700,10.58,10.61,10.44,10.54,7189170,930599699
26-Jan-17,902.4,919.33,902.22,917.59,131958000,14797955301,10.57,10.67,10.51,10.59,8465020,934844928
25-Jan-17,891.92,903.25,891.69,901.54,120831000,14537488261,10.62,10.62,10.48,10.57,6751450,932866678
24-Jan-17,910.68,924.15,892.29,892.69,111349000,14393026385,10.73,10.77,10.57,10.63,8327330,938004330
23-Jan-17,925.5,928.27,916.74,921.01,73588600,14848013909,10.71,10.84,10.67,10.82,7267210,954275900
22-Jan-17,922.21,937.53,897.56,924.67,116573000,14905439337,10.91,10.97,10.58,10.7,8678620,943567856
21-Jan-17,895.55,927.37,895.53,921.79,111158000,14856911163,10.6,10.98,10.58,10.91,11937600,961383820
20-Jan-17,898.17,899.4,887.01,895.03,86728400,14423545371,10.39,10.76,10.35,10.6,10992800,933854252
19-Jan-17,888.34,904.61,884.34,899.07,105625000,14486616700,10.24,10.44,10.18,10.4,8347550,915611849
18-Jan-17,909.37,917.5,858.3,886.62,225676992,14284036613,10.3,10.52,9.94,10.23,10788200,900365728
17-Jan-17,830.95,910.56,830.8,907.94,155095008,14625779851,9.64,10.61,9.54,10.3,18391900,906597925
16-Jan-17,821.78,834.53,820.27,831.53,82755200,13393372620,9.88,9.93,9.58,9.64,14937400,847706513
15-Jan-17,818.14,823.31,812.87,821.8,71013600,13234840657,9.83,10,9.6,9.9,14837900,870948977
14-Jan-17,825.14,835.09,812.46,818.41,93063296,13178601992,9.79,9.89,9.44,9.65,20085800,847990590
13-Jan-17,803.74,829,780,823.98,168968000,13266554392,9.83,9.85,9.51,9.77,25066600,858481082
12-Jan-17,775.18,826.25,755.76,804.83,222326000,12956730411,9.72,10.08,9.18,9.86,30453800,866237622
11-Jan-17,908.11,919.45,762.77,777.76,310928992,12519135996,10.54,10.66,9.46,9.72,26823500,853319722
10-Jan-17,902.44,914.87,901.06,907.68,115808000,14608685049,10.37,10.69,10.29,10.55,10879700,926031183
9-Jan-17,913.24,913.69,879.81,902.83,141876992,14528815565,10.31,10.78,10.14,10.33,25718300,906044584
8-Jan-17,908.17,942.72,887.25,911.2,158715008,14661966429,9.87,10.39,9.83,10.29,16676600,902576769
7-Jan-17,903.49,908.59,823.56,908.59,279550016,14618030536,10.24,10.28,9.59,9.87,23153600,865194523
6-Jan-17,1014.24,1046.81,883.94,902.2,351876000,14513695758,10.29,10.63,9.63,10.25,29471800,898845928
5-Jan-17,1156.73,1191.1,910.42,1013.38,510199008,16300254795,11.29,11.89,9.4,10.25,41557400,898497892
4-Jan-17,1044.4,1159.42,1044.4,1154.73,344945984,18571869009,9.71,11.28,9.56,11.25,41051200,985515893
3-Jan-17,1021.6,1044.08,1021.6,1043.84,185168000,16786368910,8.37,10,8.32,9.73,33625200,851512055
2-Jan-17,998.62,1031.39,996.7,1021.75,222184992,16429024775,8.17,8.44,8.05,8.38,14579600,733331654
1-Jan-17,963.66,1003.08,958.7,998.33,147775008,16050407461,7.98,8.47,7.98,8.17,14731700,715049208
31-Dec-16,960.63,963.74,947.24,963.74,99135104,15492554222,8.15,8.16,7.91,7.97,9066800,696993600
